category,status,section,line,declared,var,ctor,id,compare_id,modern_match,reason,migration_package
Deferred Nuclear-Like,deferred,NEW ELEMENTS,88,RadioactiveMaterial,Mendelevium,RadioactiveMaterial,mendelevium,mendelevium,Mendelevium,"id->Mendelevium, field",deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,182,IsotopeMaterial,Mendelevium259,IsotopeMaterial,,mendelevium259,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,183,IsotopeMaterial,Mendelevium261,IsotopeMaterial,,mendelevium261,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,184,IsotopeMaterial,Mendelevium263,IsotopeMaterial,,mendelevium263,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NEW ELEMENTS,71,IngotMaterial,MetastableFlerovium,IngotMaterial,metastable_flerovium,metastable_flerovium,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,NEW ELEMENTS,72,IngotMaterial,MetastableHassium,IngotMaterial,metastable_hassium,metastable_hassium,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,NEW ELEMENTS,70,IngotMaterial,MetastableOganesson,IngotMaterial,metastable_oganesson,metastable_oganesson,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,NEW ELEMENTS,81,RadioactiveMaterial,Neptunium,RadioactiveMaterial,neptunium,neptunium,Neptunium,"id->Neptunium, field",deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,133,IsotopeMaterial,Neptunium235,IsotopeMaterial,,neptunium235,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,134,IsotopeMaterial,Neptunium237,IsotopeMaterial,,neptunium237,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,135,IsotopeMaterial,Neptunium239,IsotopeMaterial,,neptunium239,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,736,SimpleFluidMaterial,OgannesonBreedingBase,SimpleFluidMaterial,og_breeding_base,og_breeding_base,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,138,IsotopeMaterial,Plutonium239,IsotopeMaterial,,plutonium239,Plutonium239,field,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,139,IsotopeMaterial,Plutonium240,IsotopeMaterial,,plutonium240,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,140,IsotopeMaterial,Plutonium241Isotope,IsotopeMaterial,,plutonium241_isotope,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,141,IsotopeMaterial,Plutonium244Isotope,IsotopeMaterial,,plutonium244_isotope,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,142,IsotopeMaterial,Plutonium245,IsotopeMaterial,,plutonium245,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NEW ELEMENTS,82,RadioactiveMaterial,PlutoniumRadioactive,RadioactiveMaterial,plutonium_radioactive,plutonium_radioactive,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1106,SimpleDustMaterial,PotassiumUranylTricarbonate,SimpleDustMaterial,potassium_uranyl_carbonate,potassium_uranyl_carbonate,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NEW ELEMENTS,79,RadioactiveMaterial,Protactinium,RadioactiveMaterial,protactinium,protactinium,Protactinium,"id->Protactinium, field",deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,123,IsotopeMaterial,Protactinium233,IsotopeMaterial,,protactinium233,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,695,SimpleFluidMaterial,PureUranylNitrateSolution,SimpleFluidMaterial,pure_uranyl_nitrate,pure_uranyl_nitrate,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,628,SimpleFluidMaterial,PurifiedUranylNitrate,SimpleFluidMaterial,purified_uranyl_nitrate_solution,purified_uranyl_nitrate_solution,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,737,SimpleFluidMaterial,QuassifissioningPlasma,SimpleFluidMaterial,quasifissioning_plasma,quasifissioning_plasma,,,deferred/nuclear
Deferred Nuclear-Like,deferred,FLUID MATERIALS,217,FluidMaterial,RocketFuelCN3H7O3,FluidMaterial,rocket_fuel_b,rocket_fuel_b,,,chemistry/petrochem_fuels
Deferred Nuclear-Like,deferred,FLUID MATERIALS,201,FluidMaterial,RocketFuelH8N4C2O4,FluidMaterial,rocket_fuel_a,rocket_fuel_a,,,chemistry/petrochem_fuels
Deferred Nuclear-Like,deferred,FLUID MATERIALS,218,FluidMaterial,RP1RocketFuel,FluidMaterial,rocket_fuel_c,rocket_fuel_c,,,chemistry/petrochem_fuels
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,996,SimpleFluidMaterial,TaraniumDepletedHeliumPlasma,SimpleFluidMaterial,taranium_depleted_helium_plasma,taranium_depleted_helium_plasma,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,994,SimpleFluidMaterial,TaraniumDepletedLHelium3,SimpleFluidMaterial,taranium_depleted_liquid_helium3,taranium_depleted_liquid_helium3,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,993,SimpleFluidMaterial,TaraniumSemidepletedLHelium3,SimpleFluidMaterial,taranium_semidepleted_liquid_helium3,taranium_semidepleted_liquid_helium3,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,119,IsotopeMaterial,Thorium232Isotope,IsotopeMaterial,,thorium232_isotope,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,120,IsotopeMaterial,Thorium233,IsotopeMaterial,,thorium233,,,deferred/nuclear
Deferred Nuclear-Like,deferred,INGOT MATERIALS,424,IngotMaterial,ThoriumDopedTungsten,IngotMaterial,thoria_doped_tungsten,thoria_doped_tungsten,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,631,SimpleFluidMaterial,ThoriumNitrateSolution,SimpleFluidMaterial,thorium_nitrate_solution,thorium_nitrate_solution,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,118,RadioactiveMaterial,ThoriumRadioactive,RadioactiveMaterial,,thorium_radioactive,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1017,SimpleDustMaterial,ThUSludge,SimpleDustMaterial,thorium_uranium_sludge,thorium_uranium_sludge,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,127,IsotopeMaterial,Uranium233,IsotopeMaterial,,uranium233,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,128,IsotopeMaterial,Uranium234,IsotopeMaterial,,uranium234,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,129,IsotopeMaterial,Uranium235Isotope,IsotopeMaterial,,uranium235_isotope,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,126,IsotopeMaterial,Uranium238Isotope,IsotopeMaterial,,uranium238_isotope,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,130,IsotopeMaterial,Uranium239,IsotopeMaterial,,uranium239,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,629,SimpleFluidMaterial,UraniumDiuranate,SimpleFluidMaterial,uranium_diuranate,uranium_diuranate,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1111,SimpleDustMaterial,UraniumOxideThoriumNitrate,SimpleDustMaterial,uranium_oxide_thorium_nitrate,uranium_oxide_thorium_nitrate,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1107,SimpleDustMaterial,UraniumPeroxideThoriumOxide,SimpleDustMaterial,uranium_peroxide_thorium_oxide,uranium_peroxide_thorium_oxide,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NEW ELEMENTS,80,RadioactiveMaterial,UraniumRadioactive,RadioactiveMaterial,uranium_radioactive,uranium_radioactive,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,630,SimpleFluidMaterial,UraniumRefinementWasteSolution,SimpleFluidMaterial,uranium_refinement_waste_solution,uranium_refinement_waste_solution,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,627,SimpleFluidMaterial,UraniumSulfateWasteSolution,SimpleFluidMaterial,uranium_sulfate_waste_solution,uranium_sulfate_waste_solution,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1108,SimpleDustMaterial,UraniumThoriumOxide,SimpleDustMaterial,uranium_thorium_oxide,uranium_thorium_oxide,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,625,SimpleFluidMaterial,UranylChlorideSolution,SimpleFluidMaterial,uranyl_chloride_solution,uranyl_chloride_solution,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1144,SimpleDustMaterial,UranylNitrate,SimpleDustMaterial,uranyl_nitrate,uranyl_nitrate,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,626,SimpleFluidMaterial,UranylNitrateSolution,SimpleFluidMaterial,uranyl_nitrate_solution,uranyl_nitrate_solution,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1110,SimpleDustMaterial,UranylThoriumNitrate,SimpleDustMaterial,uranium_thorium_nitrate,uranium_thorium_nitrate,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1109,SimpleDustMaterial,UranylThoriumSulfate,SimpleDustMaterial,uranium_thorium_sulfate,uranium_thorium_sulfate,,,deferred/nuclear
Dust Materials,exists_in_gtceu,DUST MATERIALS,271,DustMaterial,AntimonyTrioxide,DustMaterial,antimony_trioxide,antimony_trioxide,AntimonyTrioxide,"id->AntimonyTrioxide, field",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,274,DustMaterial,ArsenicTrioxide,DustMaterial,arsenic_trioxide,arsenic_trioxide,ArsenicTrioxide,"id->ArsenicTrioxide, field",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,297,DustMaterial,CalciumChloride,DustMaterial,calcium_chloride,calcium_chloride,CalciumChloride,"id->CalciumChloride, field",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,312,DustMaterial,ChromiumTrioxide,DustMaterial,chromium_trioxide,chromium_trioxide,ChromiumTrioxide,"id->ChromiumTrioxide, field",metallurgy/alloys
Dust Materials,exists_in_gtceu,DUST MATERIALS,273,DustMaterial,CobaltOxide,DustMaterial,cobalt_oxide,cobalt_oxide,CobaltOxide,"id->CobaltOxide, field",metallurgy/alloys
Dust Materials,exists_in_gtceu,DUST MATERIALS,276,DustMaterial,Ferrosilite,DustMaterial,ferrosilite,ferrosilite,Ferrosilite,"id->Ferrosilite, field",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,341,DustMaterial,IndiumPhospide,DustMaterial,indium_phosphide,indium_phosphide,IndiumPhosphide,id->IndiumPhosphide,metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,303,DustMaterial,IridiumChloride,DustMaterial,iridium_chloride,iridium_chloride,IridiumChloride,"id->IridiumChloride, field",metallurgy/alloys
Dust Materials,exists_in_gtceu,DUST MATERIALS,301,DustMaterial,IrMetalResidue,DustMaterial,iridium_metal_residue,iridium_metal_residue,IridiumMetalResidue,id->IridiumMetalResidue,metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,270,DustMaterial,Massicot,DustMaterial,massicot,massicot,Massicot,"id->Massicot, field",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,264,DustMaterial,Meat,DustMaterial,meat,meat,Meat,"id->Meat, field",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,313,DustMaterial,PotassiumDichromate,DustMaterial,potassium_dichromate,potassium_dichromate,PotassiumDichromate,"id->PotassiumDichromate, field",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,336,DustMaterial,Pyrochlore,DustMaterial,pyrochlore,pyrochlore,Pyrochlore,"id->Pyrochlore, field",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,269,DustMaterial,QuartzSand,DustMaterial,sand,quartz_sand,QuartzSand,"field, old-id->quartz_sand",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,299,DustMaterial,RutheniumTetroxide,DustMaterial,ruthenium_tetroxide,ruthenium_tetroxide,RutheniumTetroxide,"id->RutheniumTetroxide, field",metallurgy/alloys
Dust Materials,exists_in_gtceu,DUST MATERIALS,326,DustMaterial,TungsticAcid,DustMaterial,tungstic_acid,tungstic_acid,TungsticAcid,"id->TungsticAcid, field",metallurgy/ore_processing
Dust Materials,exists_in_gtceu,DUST MATERIALS,272,DustMaterial,Zincite,DustMaterial,zincite,zincite,Zincite,"id->Zincite, field",metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,268,DustMaterial,AluminoSilicateWool,DustMaterial,alumino_silicate_wool,alumino_silicate_wool,,,chemistry/inorganic
Dust Materials,new_candidate,DUST MATERIALS,344,DustMaterial,Arsenopyrite,DustMaterial,arsenopyrite,arsenopyrite,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,342,DustMaterial,Barytocalcite,DustMaterial,barytocalcite,barytocalcite,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,282,DustMaterial,BismuthTellurite,DustMaterial,bismuth_tellurite,bismuth_tellurite,,,chemistry/inorganic
Dust Materials,new_candidate,DUST MATERIALS,277,DustMaterial,Blizz,DustMaterial,blizz,blizz,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,346,DustMaterial,Bowieite,DustMaterial,bowieite,bowieite,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,325,DustMaterial,CalciumTungstate,DustMaterial,calcium_tungstate,calcium_tungstate,,,chemistry/inorganic
Dust Materials,new_candidate,DUST MATERIALS,332,DustMaterial,Caliche,DustMaterial,caliche,caliche,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,347,DustMaterial,Celestine,DustMaterial,celestine,celestine,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,283,DustMaterial,CircuitCompoundMK3,DustMaterial,circuit_compound_mkc,circuit_compound_mkc,,,electronics/optical_materials
Dust Materials,new_candidate,DUST MATERIALS,335,DustMaterial,Columbite,DustMaterial,columbite,columbite,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,305,DustMaterial,CrudeRhodiumMetal,DustMaterial,crude_rhodium_metal,crude_rhodium_metal,,,metallurgy/alloys
Dust Materials,new_candidate,DUST MATERIALS,279,DustMaterial,Cryotheum,DustMaterial,cryotheum,cryotheum,,,fluids/cryogenics
Dust Materials,new_candidate,DUST MATERIALS,281,DustMaterial,Dibismusthydroborat,DustMaterial,dibismuthhydroborat,dibismuthhydroborat,,,chemistry/inorganic
Dust Materials,new_candidate,DUST MATERIALS,266,DustMaterial,EglinSteelBase,DustMaterial,eglin_steel_base,eglin_steel_base,,,metallurgy/alloys
Dust Materials,new_candidate,DUST MATERIALS,330,DustMaterial,EnrichedNaquadricCompound,DustMaterial,enriched_naquadric_compound,enriched_naquadric_compound,,,high_energy/particles_and_exotics
Dust Materials,new_candidate,DUST MATERIALS,323,DustMaterial,FLiBe,DustMaterial,flibe,flibe,,,fluids/cryogenics
Dust Materials,new_candidate,DUST MATERIALS,322,DustMaterial,FLiNaK,DustMaterial,flinak,flinak,,,fluids/cryogenics
Dust Materials,new_candidate,DUST MATERIALS,334,DustMaterial,Fluorite,DustMaterial,fluorite,fluorite,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,337,DustMaterial,FluoroApatite,DustMaterial,fluoroapatite,fluoroapatite,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,345,DustMaterial,Gallite,DustMaterial,gallite,gallite,,,metallurgy/ore_processing
Dust Materials,new_candidate,FLUID MATERIALS,235,DustMaterial,IridiumDioxide,DustMaterial,iridium_dioxide,iridium_dioxide,,,chemistry/inorganic
Dust Materials,new_candidate,DUST MATERIALS,296,DustMaterial,LeachResidue,DustMaterial,leach_residue,leach_residue,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,318,DustMaterial,LeadNitrate,DustMaterial,lead_nitrate,lead_nitrate,,,chemistry/inorganic
Dust Materials,new_candidate,DUST MATERIALS,340,DustMaterial,LuTmYVO,DustMaterial,lutm_yvo,lutm_yvo,,,electronics/optical_materials
Dust Materials,new_candidate,DUST MATERIALS,267,DustMaterial,MicaPulp,DustMaterial,mica_based,mica_based,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,331,DustMaterial,NaquadriaticCompound,DustMaterial,naquadriatic_compound,naquadriatic_compound,,,high_energy/particles_and_exotics
Dust Materials,new_candidate,DUST MATERIALS,329,DustMaterial,NaquadricCompound,DustMaterial,naquadric_compound,naquadric_compound,,,high_energy/particles_and_exotics
Dust Materials,new_candidate,DUST MATERIALS,338,DustMaterial,NdYAG,DustMaterial,nd_yag,nd_yag,,,electronics/optical_materials
Dust Materials,new_candidate,DUST MATERIALS,324,DustMaterial,OrganicFertilizer,DustMaterial,organic_fertilizer,organic_fertilizer,,,chemistry/biotech
Dust Materials,new_candidate,DUST MATERIALS,291,DustMaterial,PalladiumMetallicPowder,DustMaterial,palladium_metallic_powder,palladium_metallic_powder,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,292,DustMaterial,PalladiumRawPowder,DustMaterial,reprecipitated_palladium,reprecipitated_palladium,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,293,DustMaterial,PalladiumSalt,DustMaterial,palladium_salt,palladium_salt,,,chemistry/inorganic
Dust Materials,new_candidate,DUST MATERIALS,302,DustMaterial,PGSDResidue,DustMaterial,sludge_dust_residue,sludge_dust_residue,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,304,DustMaterial,PGSDResidue2,DustMaterial,metallic_sludge_dust_residue,metallic_sludge_dust_residue,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,280,DustMaterial,PhthalicAnhydride,DustMaterial,phthalicanhydride,phthalicanhydride,,,chemistry/organic
Dust Materials,new_candidate,DUST MATERIALS,288,DustMaterial,PlatinumMetallicPowder,DustMaterial,platinum_metallic_powder,platinum_metallic_powder,,,metallurgy/ore_processing
Dust Materials,new_candidate,DUST MATERIALS,290,DustMaterial,PlatinumRawPowder,DustMaterial,reprecipitated_platinum,reprecipitated_platinum,,,metallurgy/ore_processing
